date,open,close,low,high,volume,Sentiment_Score,Pos_Neg
2010-01-04,15.24,15.69,15.12,15.75,180845200.0,0.0,0.0
2010-01-05,15.74,16.200001,15.7,16.209999,209521300.0,0.0,0.0
2010-01-06,16.209999,16.389999,16.030001,16.540001,205257900.0,0.0,0.0
2010-01-07,16.68,16.93,16.51,17.190001,320868400.0,0.0,0.0
2010-01-08,16.98,16.780001,16.629999,17.1,220104700.0,0.0,0.0
2010-01-11,16.99,16.93,16.719999,17.139999,168991600.0,0.0,0.0
2010-01-12,16.719999,16.360001,16.17,16.75,223486800.0,0.0,0.0
2010-01-13,16.43,16.620001,16.15,16.780001,192609900.0,0.0,0.0
2010-01-14,16.629999,16.82,16.610001,16.92,142634200.0,0.0,0.0
2010-01-15,16.639999,16.26,16.23,16.65,195117100.0,0.0,0.0
2010-01-19,16.059999,16.32,15.84,16.469999,181616500.0,0.0,0.0
2010-01-20,16.219999,16.49,16.18,16.629999,288741100.0,0.0,0.0
2010-01-21,16.459999,15.47,15.2,16.66,551285500.0,0.0,0.0
2010-01-22,15.26,14.9,14.71,15.52,369620800.0,0.0,0.0
2010-01-25,15.16,14.98,14.77,15.27,262351600.0,0.0,0.0
2010-01-26,14.94,14.77,14.72,15.17,212380600.0,0.0,0.0
2010-01-27,14.71,15.19,14.68,15.29,258716200.0,0.0,0.0
2010-01-28,15.4,15.37,15.01,15.59,232729500.0,0.0,0.0
2010-01-29,15.49,15.18,15.09,15.55,175135300.0,0.0,0.0
2010-02-01,15.26,15.42,15.13,15.44,159503300.0,0.0,0.0
2010-02-02,15.45,15.6,15.31,15.68,171404800.0,0.0,0.0
2010-02-03,15.57,15.53,15.52,15.8,130861600.0,0.0,0.0
2010-02-04,15.35,14.75,14.73,15.43,252558700.0,0.0,0.0
2010-02-05,14.84,15.0,14.31,15.06,297683300.0,0.0,0.0
2010-02-08,14.94,14.48,14.45,14.96,208207300.0,0.0,0.0
2010-02-09,14.67,14.47,14.25,14.78,251522100.0,0.0,0.0
2010-02-10,14.51,14.67,14.46,14.91,175741800.0,0.0,0.0
2010-02-11,14.67,14.63,14.54,14.8,141086300.0,0.0,0.0
2010-02-12,14.47,14.45,14.28,14.54,162819300.0,0.0,0.0
2010-02-16,14.66,15.16,14.62,15.31,205493300.0,0.0,0.0
2010-02-17,15.35,15.66,15.25,15.88,261541900.0,0.0,0.0
2010-02-18,15.52,15.88,15.5,16.0,242140300.0,0.0,0.0
2010-02-19,15.73,15.88,15.71,16.040001,216078200.0,0.0,0.0
2010-02-22,15.96,16.209999,15.96,16.4,173773200.0,0.0,0.0
2010-02-23,16.120001,15.94,15.79,16.379999,210478400.0,0.0,0.0
2010-02-24,15.98,16.33,15.96,16.360001,191571600.0,0.0,0.0
2010-02-25,16.049999,16.549999,15.95,16.57,287325100.0,0.0,0.0
2010-02-26,16.57,16.66,16.41,16.84,343669400.0,0.0,0.0
2010-03-01,16.74,16.709999,16.57,16.860001,170931100.0,0.0,0.0
2010-03-02,16.700001,16.459999,16.389999,16.799999,183048600.0,0.0,0.0
2010-03-03,16.469999,16.370001,16.33,16.620001,154950200.0,0.0,0.0
2010-03-04,16.450001,16.4,16.030001,16.5,157746500.0,0.0,0.0
2010-03-05,16.52,16.700001,16.450001,16.75,172469000.0,0.0,0.0
2010-03-08,16.75,16.74,16.690001,16.91,127705100.0,0.0,0.0
2010-03-09,16.629999,16.799999,16.540001,16.99,167779500.0,0.0,0.0
2010-03-10,17.01,17.110001,16.99,17.35,222932200.0,0.0,0.0
2010-03-11,17.18,17.120001,17.059999,17.280001,145079600.0,0.0,0.0
2010-03-12,17.26,16.85,16.68,17.299999,171456700.0,0.0,0.0
2010-03-15,16.74,16.85,16.59,16.91,120308200.0,0.0,0.0
2010-03-16,16.969999,17.030001,16.9,17.07,107411800.0,0.0,0.0
2010-03-17,17.17,17.27,17.030001,17.299999,134463900.0,0.0,0.0
2010-03-18,17.290001,17.08,16.98,17.32,123986800.0,0.0,0.0
2010-03-19,16.82,16.82,16.74,17.23,178218800.0,0.0,0.0
2010-03-22,16.620001,16.959999,16.6,16.969999,113667800.0,0.0,0.0
2010-03-23,17.08,17.129999,16.940001,17.219999,131261400.0,0.0,0.0
2010-03-24,17.120001,17.57,17.1,17.73,270410600.0,0.0,0.0
2010-03-25,17.84,17.74,17.700001,18.35,315304700.0,0.0,0.0
2010-03-26,17.98,17.9,17.75,18.23,220970700.0,0.0,0.0
2010-03-29,18.17,18.040001,17.77,18.200001,152539700.0,0.0,0.0
2010-03-30,18.059999,17.76,17.67,18.120001,144373000.0,0.0,0.0
2010-03-31,17.690001,17.85,17.67,17.98,114280900.0,0.0,0.0
2010-04-01,18.02,18.040001,17.889999,18.1,95607200.0,0.0,0.0
2010-04-05,18.16,18.129999,18.02,18.25,107989300.0,0.0,0.0
2010-04-06,18.16,18.49,18.1,18.540001,160316600.0,0.0,0.0
2010-04-07,18.58,18.620001,18.530001,18.860001,233522300.0,0.0,0.0
2010-04-08,18.59,18.65,18.309999,18.84,164305500.0,0.0,0.0
2010-04-09,18.82,18.59,18.5,18.85,135480600.0,0.0,0.0
2010-04-12,18.68,18.66,18.6,18.82,128319000.0,0.0,0.0
2010-04-13,18.610001,18.67,18.49,18.719999,113687800.0,0.0,0.0
2010-04-14,18.98,19.4,18.92,19.42,246624700.0,0.0,0.0
2010-04-15,19.629999,19.48,19.360001,19.860001,240100000.0,0.0,0.0
2010-04-16,19.469999,18.41,18.049999,19.48,589061800.0,0.0,0.0
2010-04-19,18.1,18.389999,17.870001,18.65,358828000.0,0.0,0.0
2010-04-20,18.790001,18.610001,18.440001,18.83,200544700.0,0.0,0.0
2010-04-21,18.67,18.280001,18.110001,18.91,201891300.0,0.0,0.0
2010-04-22,18.030001,18.540001,17.950001,18.6,219472400.0,0.0,0.0
2010-04-23,18.4,18.43,18.280001,18.530001,145428400.0,0.0,0.0
2010-04-26,18.41,18.049999,18.030001,18.440001,160873000.0,0.0,0.0
2010-04-27,17.91,17.469999,17.41,18.18,259438600.0,0.0,0.0
2010-04-28,17.65,17.780001,17.51,17.959999,195287800.0,0.0,0.0
2010-04-29,18.040001,18.299999,17.99,18.4,177296300.0,0.0,0.0
2010-04-30,18.280001,17.83,17.610001,18.299999,231536200.0,0.0,0.0
2010-05-03,17.879999,18.059999,17.780001,18.15,150747100.0,0.0,0.0
2010-05-04,17.77,17.559999,17.48,17.91,183242300.0,0.0,0.0
2010-05-05,17.200001,17.530001,16.889999,17.84,195023300.0,0.0,0.0
2010-05-06,17.48,16.280001,15.5,17.610001,465091500.0,0.0,0.0
2010-05-07,16.48,16.18,15.95,16.790001,388118300.0,0.0,0.0
2010-05-10,17.23,17.299999,17.01,17.389999,268476800.0,-0.3668,-1.0
2010-05-11,17.08,17.16,16.969999,17.49,188202400.0,0.0,0.0
2010-05-12,17.27,17.07,16.99,17.33,179359300.0,0.0,0.0
2010-05-13,17.030001,16.870001,16.85,17.18,135257500.0,0.0,0.0
2010-05-14,16.709999,16.34,16.120001,16.719999,212906900.0,0.0,0.0
2010-05-17,16.389999,16.35,15.85,16.450001,181966800.0,0.0,0.0
2010-05-18,16.709999,15.95,15.67,16.75,216050700.0,0.0,0.0
2010-05-19,15.8,16.309999,15.8,16.459999,260711100.0,0.0,0.0
2010-05-20,15.96,15.3,15.28,16.049999,301263900.0,0.0,0.0
2010-05-21,14.96,15.99,14.95,16.0,266468500.0,0.0,0.0
2010-05-24,15.98,15.4,15.39,16.08,170656700.0,0.0,0.0
2010-05-25,14.91,15.49,14.8,15.54,263919800.0,0.0,0.0
2010-05-26,15.91,15.47,15.38,16.1,225933000.0,0.0,0.0
2010-05-27,15.81,16.18,15.59,16.200001,163490700.0,-0.5955,-1.0
2010-05-28,16.17,15.74,15.71,16.18,160778500.0,0.0,0.0
2010-06-01,15.58,15.44,15.4,15.98,126185400.0,0.0,0.0
2010-06-02,15.58,15.89,15.35,15.92,127114500.0,0.0,0.0
2010-06-03,15.96,15.81,15.69,16.07,124229100.0,0.0,0.0
2010-06-04,15.5,15.35,15.25,15.73,148415800.0,0.0,0.0
2010-06-07,15.36,14.83,14.77,15.4,158959100.0,0.0,0.0
2010-06-08,14.88,15.33,14.79,15.35,167648900.0,0.0,0.0
2010-06-09,15.43,15.01,14.94,15.49,150844900.0,0.0,0.0
2010-06-10,15.27,15.46,15.11,15.48,124056500.0,0.0,0.0
2010-06-11,15.33,15.6,15.31,15.7,115114300.0,0.0,0.0
2010-06-14,15.7,15.41,15.39,15.79,120504600.0,0.0,0.0
2010-06-15,15.56,15.8,15.31,15.84,129815000.0,0.0,0.0
2010-06-16,15.7,15.87,15.65,15.97,110926700.0,0.0,0.0
2010-06-17,15.96,15.82,15.59,16.07,127136400.0,0.0,0.0
2010-06-18,15.88,15.82,15.74,15.91,105721700.0,0.0,0.0
2010-06-21,16.030001,15.79,15.75,16.1,109114600.0,0.0,0.0
2010-06-22,15.78,15.58,15.56,15.91,108235700.0,0.0,0.0
2010-06-23,15.6,15.43,15.29,15.71,132920800.0,0.0,0.0
2010-06-24,15.27,15.02,14.98,15.31,167776300.0,0.0,0.0
2010-06-25,15.26,15.42,15.11,15.62,175269500.0,0.0,0.0
2010-06-28,15.5,15.24,15.21,15.55,110641800.0,0.0,0.0
2010-06-29,15.01,14.57,14.45,15.05,201991800.0,0.0,0.0
2010-06-30,14.62,14.37,14.3,14.8,138978000.0,0.0,0.0
2010-07-01,14.32,14.02,13.5,14.35,256787300.0,0.0,0.0
2010-07-02,14.1,13.84,13.68,14.1,140988600.0,0.0,0.0
2010-07-06,14.13,14.06,13.83,14.31,120153500.0,0.9749,1.0
2010-07-07,14.12,14.71,14.1,14.73,150021000.0,0.0,0.0
2010-07-08,14.88,14.86,14.6,14.94,132297400.0,0.0,0.0
2010-07-09,14.86,15.11,14.75,15.13,86584400.0,0.0,0.0
2010-07-12,15.07,15.21,14.97,15.25,92146300.0,0.0,0.0
2010-07-13,15.48,15.67,15.4,15.72,130720700.0,0.0,0.0
2010-07-14,15.6,15.67,15.42,15.72,115645600.0,0.93,1.0
2010-07-15,15.66,15.39,15.06,15.69,177237600.0,0.0,0.0
