todate,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,open,close,low,high,volume,Unnamed: 0.1,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Sentiment_Score,Pos_Neg
2012-12-31,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,11.37,11.61,11.3,11.65,170837500.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,-0.971,-1.0
2013-01-02,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,12.05,12.03,11.9,12.15,236021400.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.6925333333333333,1.0
2013-01-03,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,12.01,11.96,11.88,12.05,157149700.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.0,0.0
2013-01-04,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,11.97,12.11,11.93,12.11,132601900.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.0,0.0
2013-01-07,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,12.15,12.09,12.0,12.2,201403500.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.3413666666666666,0.3333333333333333
2013-01-08,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,12.09,11.98,11.89,12.1,168461100.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.11155714285714284,0.14285714285714285
2013-01-09,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,11.87,11.43,11.33,12.0,335692000.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.08853333333333334,0.3333333333333333
2013-01-10,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,11.61,11.78,11.54,11.81,199964900.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.9739,1.0
2013-01-11,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,11.7,11.63,11.51,11.72,146136700.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.28795,0.0
2013-01-14,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,11.61,11.47,11.38,11.63,110032900.0,190,2012/12/31,149000000000.0,0,0,2,5000000,0.0,0.0,627000000000.0,0,158000000000.0,3753000000.0,0.0,0,0,5618000000,17826000000,3072000000,-731000000,2070000000,11858000000.0,69976000000.0,0,0.0,-1116000000,6684000000.0,12991000000,0,-37463000000.0,24061000000,120000000000.0,1550000000000.0,0,0,-28811000000,-9350000000,-16056000000.0,42416000000.0,-34979000000.0,4188000000,-43450000000,2760000000,6258000000,71467000000,0,0,0,150000000000.0,0,1110000000000.0,-2797000000,72469000000,2479000000,0.0,-6473000000,9433000000,3,1,4,0.0,0,62843000000.0,667000000,70829000000,324000000000.0,0.0,2210000000000.0,0.0,0,237000000000.0,1970000000000.0,2210000000000.0,100000000000.0,0.0,2012.0,0.26,16107692308.0,0.2504285714285714,0.14285714285714285
