date,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,open,low,high,volume,SMA_100,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CUMLOGRET_1,SMA_55_CUMLOGRET,Unnamed: 0,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,Earnings Per Share,Estimated Shares Outstanding,close
2012-12-31,0,0,0,0,70858,11.37,11.3,11.65,170837500.0,9.34,9.82223141947918,10.8835,11.94476858052082,19.502339881854567,0.8422790485531323,69.8267841281183,0.4550425653786636,0.0273252408303194,0.4277173245483441,-0.3011567710351411,-0.4542951137312818,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.61
2013-01-02,0,0,0,0,70858,12.05,11.9,12.15,236021400.0,9.3836,9.943971931868294,10.995,12.046028068131708,19.118291371199764,0.992375052285616,74.62014574808506,0.4867282835294197,0.0472087671848604,0.4395195163445593,-0.2656200367583538,-0.4494385013727478,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,12.03
2013-01-03,0,0,0,0,70858,12.01,11.88,12.05,157149700.0,9.4265,10.09080491210066,11.0975,12.10419508789934,18.14273643432016,0.9283819452222472,72.55144304351823,0.5004224697326674,0.0487223627104864,0.4517001070221809,-0.2714558182224554,-0.4449428378039889,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.96
2013-01-04,0,0,0,0,70858,11.97,11.93,12.11,132601900.0,9.4704,10.126453608045354,11.18,12.233546391954643,18.84698375589706,0.941366420644548,74.20191218354203,0.5174145247952406,0.0525715342184477,0.4648429905767929,-0.2589920091799403,-0.4397871695589205,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,12.11
2013-01-07,0,0,0,0,70858,12.15,12.0,12.2,201403500.0,9.5139,10.191298617081513,11.2615,12.331701382918489,19.006373625511472,0.8870766816524959,73.56673803975838,0.5232354850317833,0.0467139955639923,0.476521489467791,-0.2606449021182399,-0.4352885752958425,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,12.09
2013-01-08,0,0,0,0,70858,12.09,11.89,12.1,168461100.0,9.5565,10.254548883793756,11.3285,12.402451116206244,18.96016447378283,0.8033192061392136,70.01674887450976,0.5130583400885413,0.0292294804966002,0.4838288595919411,-0.2697849740576378,-0.4309946442117786,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.98
2013-01-09,0,0,0,0,70858,11.87,11.33,12.0,335692000.0,9.593,10.35514819083123,11.3715,12.387851809168769,17.87542204931222,0.5287794046668963,55.57605844196619,0.4553633309154783,-0.0227724229411702,0.4781357538566486,-0.3167820889382219,-0.4275167260727002,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.43
2013-01-10,0,0,0,0,70858,11.61,11.54,11.81,199964900.0,9.6321,10.485379022977783,11.435,12.384620977022214,16.609024521595373,0.6816514211184752,61.07750309347714,0.4328915906127584,-0.0361953305951121,0.4690869212078705,-0.2866203885215005,-0.4235481029631465,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.78
2013-01-11,0,0,0,0,70858,11.7,11.51,11.72,146136700.0,9.6691,10.612583718951484,11.486,12.359416281048516,15.208362894802658,0.5824349185631915,57.775256943319526,0.3983864768073495,-0.0565603555204168,0.4549468323277663,-0.299435600214368,-0.4197547941199981,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.63
2013-01-14,0,0,0,0,70858,11.61,11.38,11.63,110032900.0,9.7038,10.77403114763979,11.5325,12.290968852360212,13.153589462132432,0.4587985717504998,54.39682534993357,0.3540490061414871,-0.0807182609490234,0.4347672670905105,-0.3132886356036618,-0.4164239981809319,190,148579000000.0,0.0,0.0,2.0,5000000.0,0.0,10.0,626626000000.0,0.0,158142000000.0,3753000000.0,102.0,0.0,0.0,5618000000.0,17826000000.0,3072000000.0,-731000000.0,2070000000.0,11858000000.0,69976000000.0,0.0,0.0,-1116000000.0,6684000000.0,12991000000.0,0.0,-37463000000.0,24061000000.0,119603000000.0,1550507000000.0,0.0,0.0,-28811000000.0,-9350000000.0,-16056000000.0,42416000000.0,-34979000000.0,4188000000.0,-43450000000.0,2760000000.0,6258000000.0,71467000000.0,0.0,0.0,0.0,150112000000.0,0.0,1105261000000.0,-2797000000.0,72469000000.0,2479000000.0,0.0,-6473000000.0,9433000000.0,3.0,1.0,4.0,60.0,0.0,62843000000.0,667000000.0,70829000000.0,323990000000.0,0.0,2209974000000.0,0.0,0.0,236956000000.0,1973018000000.0,2209974000000.0,100078000000.0,0.0,0.26,16107692307.7,11.47
