,data,numArticles,neutral,positive,negative
0,2016-12-20,5,0.46541324,0.24754123,0.2870455
1,2016-12-23,4,0.58239734,0.25765282,0.15994982
2,2016-12-29,1,0.9251453,0.061202087,0.013652637
3,2016-12-30,2,0.49948028,0.46940503,0.031114697
4,2017-01-01,1,0.72726667,0.03221783,0.24051549
5,2016-12-09,5,0.5571147,0.33070427,0.11218101
6,2016-12-15,6,0.4900683,0.15470035,0.35523137
7,2016-12-16,3,0.40795898,0.33954334,0.2524977
8,2016-12-18,1,0.9136439,0.07166786,0.01468823
9,2016-12-19,4,0.47434804,0.06468602,0.46096593
10,2016-12-08,11,0.46933058,0.3540497,0.17661971
11,2016-12-04,2,0.920017,0.022478007,0.05750496
12,2016-12-05,3,0.71197337,0.25951764,0.028509066
13,2016-12-06,5,0.45442715,0.1939238,0.35164905
14,2016-12-07,7,0.4478251,0.258246,0.29392895
15,2016-11-29,6,0.56809276,0.41291904,0.018988185
16,2016-11-30,6,0.22425927,0.16181275,0.613928
17,2016-12-01,8,0.6017173,0.18969366,0.20858908
18,2016-12-02,4,0.43112868,0.26797307,0.30089822
19,2016-11-27,3,0.8463934,0.12053687,0.03306965
20,2016-11-28,7,0.5433917,0.16041172,0.29619652
21,2016-11-22,6,0.39979947,0.32662764,0.27357286
22,2016-11-23,9,0.58068603,0.10300987,0.31630412
23,2016-11-24,1,0.7732465,0.14839719,0.07835629
24,2016-11-25,8,0.6311258,0.27541077,0.09346342
25,2016-11-18,7,0.40152702,0.13930306,0.4591699
26,2016-11-20,2,0.07492916,0.45614436,0.46892655
27,2016-11-21,10,0.4177751,0.14462867,0.43759623
28,2016-11-15,7,0.4568592,0.17701708,0.36612377
29,2016-11-16,8,0.65238476,0.08875096,0.25886434
30,2016-11-17,6,0.653349,0.06316527,0.28348574
31,2016-11-10,7,0.46749872,0.14894213,0.38355914
32,2016-11-11,6,0.46996823,0.17079996,0.35923183
33,2016-11-13,3,0.7650966,0.10555387,0.12934951
34,2016-11-14,10,0.33670112,0.32964376,0.33365518
35,2016-11-03,1,0.84456015,0.14368582,0.01175406
36,2016-11-07,5,0.34243375,0.11223452,0.5453318
37,2016-11-09,9,0.36492857,0.3526957,0.28237575
38,2016-10-25,3,0.37445772,0.35882565,0.26671663
39,2016-10-26,4,0.61451566,0.27884117,0.10664313
40,2016-10-28,3,0.31381956,0.33641174,0.34976873
41,2016-10-31,3,0.4790921,0.122701846,0.39820608
42,2016-11-01,4,0.20345978,0.3404365,0.4561037
43,2016-11-02,3,0.46731666,0.039110016,0.49357334
44,2016-10-18,9,0.33613524,0.19730195,0.4665628
45,2016-10-19,7,0.5085987,0.13807473,0.35332656
46,2016-10-20,4,0.32479382,0.23007886,0.44512734
47,2016-10-21,3,0.5312703,0.40176138,0.06696827
