,data,numArticles,neutral,positive,negative
0,2016-11-06,1,0.85924906,0.1127118,0.02803916
1,2016-11-07,1,0.91625655,0.02520655,0.05853691
2,2016-08-02,1,0.32755178,0.030265145,0.642183
3,2016-08-05,1,0.92972267,0.0281399,0.042137396
4,2016-08-07,1,0.9071146,0.028290981,0.06459435
5,2016-11-03,1,0.93674314,0.035122342,0.02813447
6,2013-07-15,18,0.40742928,0.39130682,0.20126386
7,2015-11-17,1,0.9107961,0.06264492,0.026558941
8,2016-05-03,1,0.9175341,0.021280505,0.061185393
9,2016-07-03,1,0.24738272,0.74456185,0.008055471
10,2013-07-14,15,0.38107455,0.18343148,0.43549398
11,2013-07-13,2,0.70777416,0.13979174,0.15243408
12,2013-07-12,27,0.3522795,0.2346368,0.4130837
13,2016-12-10,1,0.53087413,0.029430049,0.43969584
14,2016-08-08,1,0.10526702,0.8536106,0.04112233
15,2016-11-01,1,0.028823452,0.015268886,0.9559077
16,2016-04-26,1,0.06456463,0.7209746,0.21446075
17,2016-05-05,2,0.051087823,0.012099284,0.9368129
18,2016-05-07,1,0.6642414,0.02854591,0.3072127
19,2016-05-13,1,0.30795896,0.020429028,0.671612
20,2016-05-23,1,0.9519486,0.030091265,0.017960113
21,2016-06-23,1,0.92990625,0.047061455,0.02303235
22,2016-06-28,1,0.030791488,0.22736324,0.74184525
23,2016-07-01,1,0.36081123,0.41003212,0.22915658
24,2016-02-20,1,0.9224299,0.036834206,0.04073589
25,2016-02-29,1,0.7772029,0.13082846,0.09196867
26,2016-03-09,1,0.04840711,0.020385029,0.93120784
27,2016-04-04,1,0.9154332,0.05592806,0.028638687
28,2016-04-15,1,0.13956915,0.01834335,0.84208745
29,2016-04-20,1,0.93122554,0.03481132,0.03396314
30,2013-07-11,30,0.48512447,0.290323,0.22455242
31,2015-11-27,1,0.8822621,0.01845856,0.09927938
32,2015-11-30,2,0.73227215,0.23654759,0.031180285
33,2016-01-12,1,0.8486634,0.06360946,0.08772716
34,2016-01-15,1,0.71668506,0.02542025,0.2578947
35,2016-02-04,1,0.018880947,0.009258933,0.9718602
36,2016-02-10,1,0.92278284,0.06273636,0.014480844
37,2015-10-15,1,0.36603814,0.04386689,0.59009504
38,2015-10-16,1,0.09647936,0.019301917,0.88421875
39,2015-10-23,1,0.036874346,0.91261685,0.050508857
40,2015-11-05,1,0.019859927,0.0089060655,0.9712341
41,2015-11-06,1,0.93232673,0.050120447,0.017552758
42,2015-11-10,1,0.11694116,0.021145267,0.86191356
43,2015-08-12,2,0.48070052,0.24450977,0.27478972
44,2015-08-14,1,0.7912396,0.16628793,0.042472444
45,2015-08-28,2,0.64317405,0.05107046,0.30575553
46,2015-09-02,1,0.845696,0.08648175,0.06782231
47,2015-09-16,1,0.9410727,0.04039439,0.018532932
48,2015-09-30,1,0.9346325,0.052453283,0.012914174
49,2015-10-09,1,0.92516345,0.018440792,0.056395732
50,2013-07-10,31,0.4156426,0.20645049,0.3779069
51,2015-06-19,1,0.3613689,0.026129616,0.61250156
52,2015-06-25,1,0.841581,0.1486076,0.009811493
53,2015-07-10,1,0.89425296,0.08987439,0.01587262
54,2015-07-23,1,0.88833547,0.096401714,0.015262778
55,2015-07-24,1,0.93242776,0.036380485,0.031191772
56,2015-07-29,1,0.8436943,0.09743601,0.05886962
57,2015-07-30,1,0.90973747,0.04207876,0.04818382
58,2015-04-20,1,0.3889204,0.56822795,0.042851597
59,2015-04-21,1,0.8869584,0.10118905,0.01185256
60,2015-05-04,1,0.081505165,0.054846033,0.86364883
61,2015-05-05,1,0.02570088,0.008832789,0.9654664
62,2015-06-11,1,0.9479405,0.025637632,0.026421899
63,2015-02-05,1,0.85471386,0.09314636,0.052139744
64,2015-02-06,1,0.7435403,0.2459342,0.010525533
65,2015-03-20,2,0.3078192,0.027457263,0.6647235
66,2015-03-25,1,0.7362799,0.25337723,0.010342853
67,2015-03-27,1,0.7600226,0.1569089,0.08306845
68,2015-04-13,1,0.8003711,0.18863596,0.010992877
69,2015-04-15,1,0.8003711,0.18863596,0.010992877
70,2014-08-07,1,0.10051006,0.87476444,0.024725437
71,2014-08-08,2,0.06806244,0.29946187,0.6324757
72,2014-09-30,1,0.88954985,0.09974107,0.010709082
73,2014-10-24,1,0.8989216,0.04823174,0.05284661
74,2014-11-05,1,0.04006695,0.9291665,0.030766558
75,2015-02-04,1,0.94468945,0.038082268,0.017228264
76,2013-07-09,18,0.48228046,0.25693378,0.26078582
77,2014-07-24,1,0.57264584,0.11116893,0.31618524
78,2013-07-03,36,0.4430057,0.23141544,0.32557887
79,2013-07-04,22,0.31139088,0.29158714,0.3970219
80,2013-07-07,15,0.50894856,0.23039018,0.26066127
81,2013-07-08,19,0.41564068,0.24585052,0.33850878
82,2013-06-30,15,0.59939885,0.1774388,0.22316234
83,2013-07-01,21,0.31127143,0.4076794,0.2810492
84,2013-07-02,39,0.38747618,0.3353316,0.27719223
85,2013-06-26,37,0.40256923,0.22299261,0.37443817
86,2013-06-27,35,0.35692838,0.2921759,0.35089573
87,2013-06-28,26,0.35562718,0.31013697,0.33423597
88,2013-06-21,19,0.33342728,0.31895274,0.34761995
89,2013-06-23,12,0.64037186,0.20049165,0.15913649
90,2013-06-24,22,0.50688547,0.09963849,0.39347613
91,2013-06-25,22,0.4040824,0.29181197,0.30410567
92,2013-06-17,21,0.53004533,0.3576111,0.11234364
93,2013-06-18,30,0.35523918,0.2446397,0.40012115
94,2013-06-19,23,0.41513604,0.24998982,0.33487406
95,2013-06-20,26,0.35286242,0.20166808,0.44546953
96,2013-06-12,28,0.33264548,0.28608063,0.3812739
97,2013-06-13,26,0.2871608,0.28881848,0.4240207
98,2013-06-16,18,0.5487064,0.18671292,0.2645806
99,2013-07-05,18,0.3497673,0.26621577,0.38401693
100,2013-06-06,40,0.37085423,0.22336419,0.40578157
101,2013-06-09,9,0.42034906,0.23965757,0.3399934
102,2013-06-10,33,0.38690168,0.25602007,0.35707822
103,2013-06-11,27,0.33073813,0.20558374,0.46367815
104,2013-06-04,38,0.4301161,0.26017252,0.30971128
105,2013-06-05,31,0.30574214,0.27993152,0.4143264
106,2013-05-30,28,0.28999302,0.36715993,0.34284708
107,2013-06-02,17,0.5434882,0.2654861,0.19102569
108,2013-06-03,33,0.36284968,0.20168844,0.43546194
109,2013-05-24,30,0.46249676,0.23469734,0.302806
110,2013-05-26,8,0.3867057,0.2844571,0.3288372
111,2013-05-28,21,0.43944088,0.23531619,0.32524294
112,2013-05-21,25,0.4999456,0.26191413,0.23814031
113,2013-05-22,22,0.2926532,0.30024675,0.40710008
114,2013-05-23,24,0.19059046,0.17029732,0.63911223
115,2013-05-13,22,0.46353874,0.24092488,0.2955364
116,2013-05-15,20,0.48585087,0.15636757,0.3577816
117,2013-05-19,10,0.46991992,0.20047466,0.3296054
118,2013-05-08,22,0.56297415,0.17420053,0.2628253
119,2013-05-09,29,0.3600152,0.2848164,0.35516843
120,2013-05-10,15,0.54218984,0.1770866,0.28072354
121,2013-05-06,24,0.49535486,0.19978666,0.30485854
122,2013-05-07,19,0.54392743,0.21298549,0.24308701
123,2013-05-01,30,0.4496662,0.19127125,0.35906246
124,2013-05-02,25,0.4092733,0.18797863,0.40274808
