date,Negative,Neutral,Positive
2010-01-02,0.0,0.0,1.0
2010-01-03,0.0,0.5,0.5
2010-01-04,1.0,0.0,0.0
2010-01-05,0.0,0.0,1.0
2010-01-07,0.5,0.0,0.5
2010-01-08,0.0,0.0,1.0
2010-01-12,1.0,0.0,0.0
2010-01-13,0.3333333333333333,0.0,0.6666666666666666
2010-01-14,0.5,0.5,0.0
2010-01-15,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-01-19,1.0,0.0,0.0
2010-01-25,0.0,0.0,1.0
2010-01-27,0.0,0.0,1.0
2010-01-28,0.0,0.0,1.0
2010-02-01,0.0,1.0,0.0
2010-02-02,1.0,0.0,0.0
2010-02-10,0.0,0.0,1.0
2010-02-11,0.0,0.0,1.0
2010-02-13,0.0,0.0,1.0
2010-02-14,0.0,1.0,0.0
2010-02-17,0.0,0.0,1.0
2010-02-19,0.0,1.0,0.0
2010-02-20,0.0,0.0,1.0
2010-02-23,1.0,0.0,0.0
2010-02-25,0.0,0.0,1.0
2010-02-27,1.0,0.0,0.0
2010-03-01,0.0,1.0,0.0
2010-03-02,0.0,1.0,0.0
2010-03-07,0.0,0.0,1.0
2010-03-08,0.0,0.0,1.0
2010-03-10,0.5,0.0,0.5
2010-03-12,1.0,0.0,0.0
2010-03-15,1.0,0.0,0.0
2010-03-16,0.0,0.0,1.0
2010-03-18,1.0,0.0,0.0
2010-03-19,0.3333333333333333,0.6666666666666666,0.0
2010-03-23,0.0,1.0,0.0
2010-03-24,0.0,0.3333333333333333,0.6666666666666666
2010-03-29,0.0,1.0,0.0
2010-03-30,0.0,1.0,0.0
2010-04-02,0.0,0.8,0.2
2010-04-03,0.0,1.0,0.0
2010-04-06,0.0,1.0,0.0
2010-04-07,0.0,1.0,0.0
2010-04-08,0.0,1.0,0.0
2010-04-09,0.0,0.5,0.5
2010-04-10,0.0,0.0,1.0
2010-04-11,0.0,1.0,0.0
2010-04-12,1.0,0.0,0.0
2010-04-13,1.0,0.0,0.0
2010-04-14,0.0,1.0,0.0
2010-04-15,0.0,0.75,0.25
2010-04-16,0.4,0.2,0.4
2010-04-18,0.0,1.0,0.0
2010-04-19,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-04-20,0.0,1.0,0.0
2010-04-21,0.0,1.0,0.0
2010-04-22,0.5,0.5,0.0
2010-04-23,0.3333333333333333,0.6666666666666666,0.0
2010-04-24,0.0,1.0,0.0
2010-04-26,0.5,0.0,0.5
2010-04-27,0.0,0.42857142857142855,0.5714285714285714
2010-04-28,0.0,1.0,0.0
2010-04-29,0.5,0.5,0.0
2010-04-30,0.0,1.0,0.0
2010-05-01,0.0,0.0,1.0
2010-05-02,0.0,1.0,0.0
2010-05-03,0.0,1.0,0.0
2010-05-04,0.0,0.5,0.5
2010-05-05,0.5,0.5,0.0
2010-05-06,0.5,0.5,0.0
2010-05-07,0.0,0.5,0.5
2010-05-09,0.0,1.0,0.0
2010-05-10,1.0,0.0,0.0
2010-05-11,0.0,0.0,1.0
2010-05-14,0.0,1.0,0.0
2010-05-18,0.0,0.3333333333333333,0.6666666666666666
2010-05-19,0.0,0.0,1.0
2010-05-20,0.0,1.0,0.0
2010-05-21,0.0,0.5,0.5
2010-05-25,0.0,0.0,1.0
2010-05-27,0.1,0.1,0.8
2010-05-28,0.2857142857142857,0.42857142857142855,0.2857142857142857
2010-05-30,0.0,0.0,1.0
2010-06-03,0.0,1.0,0.0
2010-06-05,1.0,0.0,0.0
2010-06-06,1.0,0.0,0.0
2010-06-07,0.0,1.0,0.0
2010-06-08,1.0,0.0,0.0
2010-06-10,0.0,0.0,1.0
2010-06-11,0.0,1.0,0.0
2010-06-12,0.0,0.0,1.0
2010-06-13,0.0,1.0,0.0
2010-06-14,1.0,0.0,0.0
2010-06-15,0.3333333333333333,0.0,0.6666666666666666
2010-06-16,0.0,1.0,0.0
2010-06-17,0.16666666666666666,0.3333333333333333,0.5
2010-06-18,0.0,0.0,1.0
2010-06-21,0.0,1.0,0.0
2010-06-22,0.0,1.0,0.0
2010-06-23,0.0,1.0,0.0
2010-06-25,0.0,1.0,0.0
2010-06-26,0.0,0.0,1.0
2010-06-27,0.0,0.6,0.4
2010-06-28,0.25,0.75,0.0
2010-06-29,0.25,0.5,0.25
2010-06-30,0.0,0.25,0.75
2010-07-01,0.0,0.75,0.25
2010-07-02,0.2,0.6,0.2
2010-07-03,0.0,0.5,0.5
2010-07-04,0.0,0.5,0.5
2010-07-06,0.0,0.4,0.6
2010-07-07,0.0,0.75,0.25
2010-07-08,0.0,0.3333333333333333,0.6666666666666666
2010-07-09,0.0,0.0,1.0
