date,Sentiment_Score_total
2010-01-02,0.1531
2010-01-03,0.5719
2010-01-04,-0.0572
2010-01-05,0.4404
2010-01-07,0.0
2010-01-08,0.5888
2010-01-12,-0.25
2010-01-13,1.0871
2010-01-14,-0.2732
2010-01-15,0.24439999999999998
2010-01-19,-0.34
2010-01-25,0.4019
2010-01-27,6.9255
2010-01-28,0.7003
2010-02-01,0.0
2010-02-02,-1.2517
2010-02-10,0.128
2010-02-11,0.4404
2010-02-13,0.6778
2010-02-14,0.0
2010-02-17,0.4404
2010-02-19,0.0
2010-02-20,1.061
2010-02-23,-0.6486
2010-02-25,0.4588
2010-02-27,-1.4346
2010-03-01,0.0
2010-03-02,0.0
2010-03-07,0.2732
2010-03-08,8.807
2010-03-10,-0.03749999999999998
2010-03-12,-0.3182
2010-03-15,-1.7578
2010-03-16,0.8008
2010-03-18,-0.3182
2010-03-19,-0.3182
2010-03-23,0.0
2010-03-24,0.8808
2010-03-29,0.0
2010-03-30,0.0
2010-04-02,0.4215
2010-04-03,0.0
2010-04-06,0.0
2010-04-07,0.0
2010-04-08,0.0
2010-04-09,3.612
2010-04-10,0.4215
2010-04-11,0.0
2010-04-12,-0.2732
2010-04-13,-0.3875
2010-04-14,0.0
2010-04-15,0.2732
2010-04-16,0.8978999999999999
2010-04-18,0.0
2010-04-19,0.5045000000000001
2010-04-20,0.0
2010-04-21,0.0
2010-04-22,-0.5267
2010-04-23,-0.34
2010-04-24,0.0
2010-04-26,0.5516000000000001
2010-04-27,2.8929
2010-04-28,0.0
2010-04-29,-0.8399
2010-04-30,0.0
2010-05-01,0.128
2010-05-02,0.0
2010-05-03,0.0
2010-05-04,0.7385
2010-05-05,-0.2732
2010-05-06,-0.2732
2010-05-07,0.5106
2010-05-09,0.0
2010-05-10,-0.0644
2010-05-11,1.4196
2010-05-14,0.0
2010-05-18,1.284
2010-05-19,0.4767
2010-05-20,0.0
2010-05-21,0.5859
2010-05-25,0.6908
2010-05-27,2.1001
2010-05-28,0.1355
2010-05-30,0.5267
2010-06-03,0.0
2010-06-05,-0.5423
2010-06-06,-0.2732
2010-06-07,0.0
2010-06-08,-0.0258
2010-06-10,0.954
2010-06-11,0.0
2010-06-12,0.4019
2010-06-13,0.0
2010-06-14,-0.2732
2010-06-15,4.5562000000000005
2010-06-16,0.0
2010-06-17,1.1226
2010-06-18,1.139
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-25,0.0
2010-06-26,0.5106
2010-06-27,0.7838
2010-06-28,-0.2732
2010-06-29,0.4171
2010-06-30,9.738199999999999
2010-07-01,0.296
2010-07-02,0.022799999999999987
2010-07-03,0.8779
2010-07-04,0.128
2010-07-06,10.2351
2010-07-07,0.4588
2010-07-08,0.9343
2010-07-09,0.9136
2010-07-10,1.0098
2010-07-11,0.7861
2010-07-12,1.2807
2010-07-13,-0.5831
2010-07-14,0.0
2010-07-15,1.8997000000000002
2010-07-16,1.0123
2010-07-17,-0.5423
2010-07-18,0.1027
2010-07-19,-0.7506
2010-07-20,0.09960000000000001
2010-07-21,-0.964
2010-07-22,-0.25
2010-07-23,-0.3612
2010-07-24,0.0
2010-07-25,0.4767
2010-07-26,0.0516
2010-07-27,0.10750000000000004
2010-07-30,0.22709999999999997
2010-07-31,0.6369
2010-08-01,0.2023
2010-08-02,0.1779
2010-08-03,0.0
2010-08-04,0.7096
2010-08-05,-0.2732
2010-08-07,-0.3818
2010-08-09,0.4526
2010-08-10,-0.2732
2010-08-11,0.0
2010-08-12,1.0308
2010-08-13,0.5267
2010-08-14,-0.3182
2010-08-15,7.132099999999999
2010-08-19,-0.07850000000000001
2010-08-20,0.0
2010-08-22,0.0
2010-08-23,0.0
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,1.6441
2010-08-27,-2.9985
2010-08-28,0.0
2010-08-30,0.6908
2010-08-31,0.7579
2010-09-01,0.10039999999999999
2010-09-02,-0.020000000000000004
2010-09-03,0.0
2010-09-04,0.5574
2010-09-07,-0.4215
2010-09-09,0.1027
2010-09-10,0.0
2010-09-12,1.039
2010-09-13,0.2732
2010-09-14,0.4019
2010-09-16,1.0829
2010-09-19,-0.1531
2010-09-20,-0.2716
2010-09-21,0.4391
2010-09-22,0.4588
2010-09-23,0.6369
2010-09-24,0.4019
2010-09-25,0.0
2010-09-27,0.46080000000000004
2010-10-02,-7.1208
2010-10-04,-1.2132
2010-10-05,1.1935
2010-10-06,4.9529000000000005
2010-10-07,0.4404
2010-10-08,1.0574000000000001
2010-10-09,5.9045999999999985
2010-10-10,9.575
2010-10-11,-0.5352
2010-10-12,0.20120000000000005
2010-10-13,-0.7422
2010-10-14,0.6908
2010-10-15,0.9125000000000001
2010-10-17,0.9169
2010-10-18,0.2594
2010-10-19,-1.7437999999999998
2010-10-20,-2.7212
2010-10-21,-0.21390000000000003
2010-10-22,0.8272
2010-10-23,0.4404
2010-10-24,1.402
2010-10-26,-2.4646
2010-10-27,4.2509
2010-10-28,0.0
2010-10-29,0.0
2010-10-31,-0.8749
2010-11-01,0.4588
2010-11-02,-0.296
2010-11-04,0.5016
2010-11-05,-0.051899999999999946
2010-11-06,0.0
2010-11-07,-0.4939
2010-11-08,1.1906
2010-11-09,1.8410000000000002
2010-11-10,-0.472
2010-11-11,-0.13269999999999998
2010-11-12,-0.5106
2010-11-13,0.6597
2010-11-16,-2.2295000000000003
2010-11-17,-0.45819999999999994
2010-11-18,0.31570000000000004
2010-11-19,0.8062
2010-11-20,1.607
2010-11-21,0.128
2010-11-22,0.18820000000000003
2010-11-23,-0.2732
2010-11-24,0.21069999999999994
2010-11-26,0.0
2010-11-27,-0.5536000000000001
2010-11-29,0.7636
2010-11-30,-4.7376000000000005
2010-12-01,-2.6707000000000005
2010-12-02,-0.5449999999999999
2010-12-03,-0.22019999999999995
2010-12-04,0.0
2010-12-05,0.7269
2010-12-06,9.2121
2010-12-07,-0.128
2010-12-08,0.5926
2010-12-09,0.5574
2010-12-10,0.1965
2010-12-11,0.6369
2010-12-12,0.0
2010-12-13,17.798800000000004
2010-12-14,0.4404
2010-12-15,0.0
2010-12-16,0.17850000000000005
2010-12-17,0.4406999999999999
2010-12-18,0.0
2010-12-19,-0.6177
2010-12-20,-5.92
2010-12-21,-5.574
2010-12-22,-9.723899999999999
2010-12-23,-0.6697
2010-12-24,6.197400000000001
2010-12-25,-1.3065
2010-12-28,2.5881000000000003
2010-12-29,1.6068
2010-12-30,-0.3426
2011-01-01,0.19360000000000005
2011-01-03,-39.2775
2011-01-04,1.1879
2011-01-05,0.7783
2011-01-06,0.7981999999999999
2011-01-07,1.1965000000000001
2011-01-08,1.2814999999999999
2011-01-09,1.4678
2011-01-10,0.6249
2011-01-11,0.0
2011-01-12,0.7964
2011-01-13,0.0
2011-01-14,0.0
2011-01-15,0.0
2011-01-16,0.0
2011-01-17,0.6874000000000001
2011-01-18,2.6923999999999997
2011-01-19,8.1899
2011-01-20,0.4215
2011-01-21,-2.4753000000000003
2011-01-22,0.3196
2011-01-23,0.25
2011-01-24,0.0
2011-01-25,-0.25
2011-01-26,9.4192
2011-01-27,0.9885999999999999
2011-01-28,0.3612
2011-01-30,0.0
2011-01-31,0.9442
2011-02-01,2.3560999999999996
2011-02-02,15.8469
2011-02-03,8.638499999999999
2011-02-04,-0.2732
2011-02-05,0.4588
2011-02-06,0.4536
2011-02-07,-0.1027
2011-02-08,-0.5487
2011-02-09,0.34
2011-02-10,2.1445999999999996
2011-02-11,0.0
2011-02-12,-0.8257000000000001
2011-02-13,-1.2198000000000002
2011-02-14,0.8089000000000002
2011-02-15,6.6196
2011-02-17,0.0772
2011-02-18,0.4767
2011-02-19,1.0447
2011-02-20,-1.4996
2011-02-21,-0.2732
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,-0.1531
2011-02-25,0.0
2011-02-26,0.6249
2011-02-27,0.0
2011-02-28,0.4019
2011-03-01,-1.0600999999999998
2011-03-02,0.4685
2011-03-03,0.03970000000000001
2011-03-04,1.1942
2011-03-05,-0.40569999999999995
2011-03-06,0.9176
2011-03-07,2.7791
2011-03-08,4.0503
2011-03-09,4.754900000000001
2011-03-10,4.983899999999999
2011-03-11,6.7780000000000005
2011-03-12,4.669500000000001
2011-03-13,15.21
2011-03-14,9.3448
2011-03-15,4.4753
2011-03-16,11.1836
2011-03-17,4.6388
2011-03-18,4.170100000000001
2011-03-19,4.0935
2011-03-20,4.674
2011-03-21,4.1927
2011-03-22,5.8811
2011-03-23,0.6493000000000004
2011-03-24,7.9845
2011-03-25,9.8925
2011-03-26,5.733
2011-03-27,2.579
2011-03-28,1.6064
2011-03-29,1.4908
2011-03-30,3.9343
2011-03-31,1.1404
2011-04-01,0.6582000000000001
2011-04-02,0.9332
2011-04-03,1.3172000000000001
2011-04-04,0.12919999999999993
2011-04-05,6.652600000000001
2011-04-06,6.132500000000001
2011-04-07,28.478500000000007
2011-04-08,4.0318000000000005
2011-04-09,9.7253
2011-04-10,4.0920000000000005
2011-04-11,10.6318
2011-04-12,1.4456
2011-04-13,15.142499999999998
2011-04-14,1.5758
2011-04-15,38.419000000000004
2011-04-16,5.5741
2011-04-17,1.0135
2011-04-18,-1.1015000000000001
2011-04-19,2.7076000000000002
2011-04-20,31.4501
2011-04-21,5.5934
2011-04-22,10.988699999999998
2011-04-23,-1.5726
2011-04-24,3.7607000000000004
2011-04-25,1.2825000000000002
2011-04-26,-0.06730000000000003
2011-04-27,0.08029999999999993
2011-04-28,-0.8474999999999998
2011-04-29,0.3127
2011-04-30,2.1675
2011-05-01,2.0389
2011-05-02,0.9822
2011-05-03,3.1162
2011-05-04,1.714
2011-05-05,3.2853
2011-05-06,3.0205
2011-05-07,-0.6808
2011-05-08,1.53
2011-05-09,0.0
2011-05-10,-0.48560000000000003
2011-05-11,1.5906999999999998
2011-05-12,3.6373000000000006
2011-05-13,0.9903
2011-05-14,0.4215
2011-05-15,2.5839
2011-05-16,1.1974000000000005
2011-05-17,0.7906
2011-05-18,1.9771
2011-05-19,1.8507000000000002
2011-05-20,0.49770000000000003
2011-05-21,2.8802000000000003
2011-05-22,0.22959999999999997
2011-05-23,0.2883
2011-05-24,-0.0258
2011-05-25,0.8028
2011-05-26,1.8129999999999997
2011-05-27,-0.20349999999999996
2011-05-28,0.0
2011-05-29,1.6896
2011-05-30,0.057599999999999985
2011-05-31,2.1084
2011-06-01,0.718
2011-06-02,0.23560000000000003
2011-06-03,0.12840000000000007
2011-06-04,0.2711
2011-06-05,0.6309
2011-06-06,1.8975
2011-06-07,6.1054
2011-06-08,0.12610000000000005
2011-06-09,-0.07890000000000003
2011-06-10,-1.3938000000000001
2011-06-11,1.4929999999999999
2011-06-12,0.04589999999999994
2011-06-13,-4.4294
2011-06-14,0.20000000000000007
2011-06-15,2.7456
2011-06-16,1.8338999999999999
2011-06-17,2.1335
2011-06-18,0.3612
2011-06-19,4.5484
2011-06-20,3.4688
2011-06-21,1.2776
2011-06-22,-9.108700000000002
2011-06-23,-5.086600000000001
2011-06-24,-0.02510000000000001
2011-06-25,1.061
2011-06-26,1.53
2011-06-27,-6.003500000000001
2011-06-28,2.1872
2011-06-29,-0.8699999999999999
2011-06-30,-0.6577999999999999
2011-07-01,0.5944
2011-07-02,0.7363999999999999
2011-07-03,0.637
2011-07-04,-0.4215
2011-07-05,3.6747
2011-07-06,2.0553999999999997
2011-07-07,-0.04050000000000009
2011-07-08,0.4215
2011-07-09,0.0
2011-07-10,2.0109
2011-07-11,0.17020000000000002
2011-07-12,-1.4202
2011-07-13,3.8614
2011-07-14,0.4588
2011-07-15,-0.31189999999999996
2011-07-16,1.1865
2011-07-17,2.0691
2011-07-18,-0.8276000000000001
2011-07-19,2.3903
2011-07-20,10.868800000000002
2011-07-21,0.31089999999999995
2011-07-22,-0.8399999999999997
2011-07-23,0.4588
2011-07-24,-0.4215
2011-07-25,1.801
2011-07-26,0.3863
2011-07-27,1.5407
2011-07-28,0.7134
2011-07-29,8.4345
2011-07-30,4.0291
2011-07-31,3.0263999999999998
2011-08-01,0.0
2011-08-02,2.1409000000000002
2011-08-03,-1.3059
2011-08-04,-0.44939999999999997
2011-08-05,-0.5859
2011-08-06,-5.437499999999999
2011-08-07,7.65
2011-08-08,10.616
2011-08-09,27.245800000000003
2011-08-10,-4.3308
2011-08-11,0.3897000000000002
2011-08-12,0.8055000000000002
2011-08-13,2.0795000000000003
2011-08-14,0.8938
2011-08-15,0.8551
2011-08-16,0.7991999999999999
2011-08-17,-0.468
2011-08-18,13.187399999999998
2011-08-19,2.1705000000000005
2011-08-20,3.6875
2011-08-21,3.1134
2011-08-22,12.1039
2011-08-23,8.219500000000002
2011-08-24,0.8350000000000006
2011-08-25,9.974100000000004
2011-08-26,1.4380999999999997
2011-08-27,2.7946
2011-08-28,-1.0252000000000001
2011-08-29,11.8228
2011-08-30,5.7514
2011-08-31,2.3532
2011-09-01,6.6450000000000005
2011-09-02,8.9681
2011-09-03,-1.8394
2011-09-04,1.3427
2011-09-05,0.08800000000000002
2011-09-06,1.4178000000000002
2011-09-07,16.6458
2011-09-08,2.8086
2011-09-09,-12.477800000000002
2011-09-10,0.2732
2011-09-11,0.07829999999999993
2011-09-12,-9.297399999999993
2011-09-13,16.3657
2011-09-14,-4.8316
2011-09-15,1.6015
2011-09-16,0.09129999999999999
2011-09-17,4.1083
2011-09-18,1.4359000000000002
2011-09-19,-0.20550000000000007
2011-09-20,2.3991
2011-09-21,1.6951000000000005
2011-09-22,-1.4869
2011-09-23,9.411799999999998
2011-09-24,-0.829
2011-09-25,0.8877
2011-09-26,13.072600000000001
2011-09-27,-3.9705999999999997
2011-09-28,-0.00920000000000007
2011-09-29,19.208500000000004
2011-09-30,28.611299999999996
2011-10-01,-0.16050000000000003
2011-10-02,0.5875
2011-10-03,-3.910899999999999
2011-10-04,5.225999999999999
2011-10-05,0.8002999999999999
2011-10-06,3.4375000000000004
2011-10-07,9.4041
2011-10-08,0.027000000000000024
2011-10-09,-7.727999999999999
2011-10-10,-12.828299999999999
2011-10-11,0.3222999999999999
2011-10-12,0.7606
2011-10-13,-1.5781000000000003
2011-10-14,2.1921
2011-10-15,0.36279999999999996
2011-10-16,0.0
2011-10-17,-10.4235
2011-10-18,0.015600000000000613
2011-10-19,18.7269
2011-10-20,1.4668999999999999
2011-10-21,1.5096
2011-10-22,1.0588
2011-10-23,-0.15850000000000003
2011-10-24,6.9449000000000005
2011-10-25,0.19940000000000002
2011-10-26,-5.8397
2011-10-27,-2.7291000000000003
2011-10-28,5.696300000000001
2011-10-29,2.1010999999999997
2011-10-30,9.7187
2011-10-31,28.596
2011-11-01,-1.2333000000000003
2011-11-02,2.7474
2011-11-03,16.000600000000002
2011-11-04,-9.0591
2011-11-05,0.7345999999999999
2011-11-06,0.0
2011-11-07,1.2066
2011-11-08,1.4742000000000002
2011-11-09,1.366
2011-11-10,2.5713
2011-11-11,1.5274
2011-11-12,0.0
2011-11-13,0.0
2011-11-14,2.8055000000000003
2011-11-15,0.42050000000000004
2011-11-16,5.2347
2011-11-17,8.165
2011-11-18,1.15
2011-11-19,1.469
2011-11-20,-0.016000000000000014
2011-11-21,2.385
2011-11-22,-166.06869999999998
2011-11-23,2.5284000000000004
2011-11-24,10.1939
2011-11-25,2.2255000000000003
2011-11-26,0.1372
2011-11-27,-0.45220000000000005
2011-11-28,4.2344
2011-11-29,4.8586
2011-11-30,-1.3902999999999996
2011-12-01,0.5854
2011-12-02,-11.519
2011-12-03,4.5752
2011-12-04,-1.8099
2011-12-05,5.2604999999999995
2011-12-06,8.3927
2011-12-07,6.245400000000001
2011-12-08,9.007900000000001
2011-12-09,-3.576099999999999
2011-12-10,2.9258000000000006
2011-12-11,0.0
2011-12-12,3.7482999999999995
2011-12-13,28.8234
2011-12-14,19.975100000000005
2011-12-15,9.682099999999998
2011-12-16,1.7195
2011-12-17,0.4707
2011-12-18,0.5859
2011-12-19,10.517100000000003
2011-12-20,-3.3539999999999996
2011-12-21,11.488000000000003
2011-12-22,1.8316999999999999
2011-12-23,9.515400000000001
2011-12-24,-0.4902000000000001
2011-12-25,0.8449
2011-12-26,1.1676
2011-12-27,-0.9872000000000004
2011-12-28,2.3058999999999994
2011-12-29,4.2436
2011-12-30,5.4303
2011-12-31,24.4873
2012-01-01,0.4019
2012-01-02,0.4322999999999999
2012-01-03,0.35689999999999983
2012-01-04,2.6431999999999998
2012-01-05,3.3376999999999994
2012-01-06,7.033100000000001
2012-01-07,1.6168
2012-01-08,0.09729999999999989
2012-01-09,16.3911
2012-01-10,7.0748000000000015
2012-01-11,8.361500000000001
2012-01-12,0.6713000000000007
2012-01-13,8.137
2012-01-14,6.6285
2012-01-15,2.2155
2012-01-16,-0.19099999999999995
2012-01-17,5.3032
2012-01-18,-0.6599999999999997
2012-01-19,5.5315
2012-01-20,4.803100000000001
2012-01-21,2.2091000000000003
2012-01-22,-0.37889999999999996
2012-01-23,24.9217
2012-01-24,3.434799999999999
2012-01-25,1.1933
2012-01-26,3.3776999999999995
2012-01-27,8.767700000000003
2012-01-28,0.016700000000000048
2012-01-29,-0.12329999999999974
2012-01-30,9.777800000000001
2012-01-31,5.8423
2012-02-01,5.6803
2012-02-02,16.2823
2012-02-03,2.3133999999999992
2012-02-04,0.9518
2012-02-05,4.853799999999999
2012-02-06,0.6731999999999998
2012-02-07,41.0315
2012-02-08,13.7907
2012-02-09,9.3177
2012-02-10,1.7039
2012-02-11,0.8368
2012-02-12,-0.8493
2012-02-13,-3.5330000000000004
2012-02-14,6.783100000000002
2012-02-15,12.846999999999998
2012-02-16,7.891
2012-02-17,5.936900000000001
2012-02-18,0.0
2012-02-19,0.2479
2012-02-20,1.46
2012-02-21,6.2775
2012-02-22,4.393399999999999
2012-02-23,13.976600000000005
2012-02-24,21.029300000000003
2012-02-25,2.7033
2012-02-26,1.4818
2012-02-27,-2.0895999999999995
2012-02-28,-0.5009000000000005
2012-02-29,7.456200000000001
2012-03-01,-1.1745000000000005
2012-03-02,-1.9112000000000005
2012-03-03,1.5518999999999998
2012-03-04,1.4992999999999999
2012-03-05,-3.6755
2012-03-06,2.9554999999999993
2012-03-07,5.553000000000001
2012-03-08,1.8154999999999997
2012-03-09,-1.9394000000000005
2012-03-10,1.4487
2012-03-11,2.8079000000000005
2012-03-12,-5.3529
2012-03-13,4.8340000000000005
2012-03-14,24.9011
2012-03-15,-0.14160000000000061
2012-03-16,4.2940000000000005
2012-03-17,-1.8747
2012-03-18,34.0968
